#WordCnt                     T64
#BeginData
0x0070        0x0000000000000000
0x0071        0x0000000000000000
0x0072        0x0000000000000000
0x0073        0x0000000000000000
0x0074        0x0000000000000000
0x0075        0x0000000000000000
0x0076        0x0000000000000000
0x0077        0x0000000000000000
0x0078        0x0000000000000000
0x0079        0x0000000000000000
0x007a        0x0000000000000000
0x007b        0x0000000000000000
0x007c        0x0000000000000000
0x007d        0x0000000000000000
0x007e        0x0000000000000000
0x007f        0x0000000000000000
0x0080        0x0000000000000000
0x0081        0x0000000000000000
0x0082        0x0000000000000000
0x0083        0x0000000000000000
0x0084        0x0000000000000000
0x0085        0x0000000000000000
0x0086        0x0000000000000000
0x0087        0x0000000000000000
0x0088        0x0000000000000000
0x0089        0x0000000000000000
0x008a        0x0000000000000000
0x008b        0x0000000000000000
0x008c        0x0000000000000000
0x008d        0x0000000000000000
0x008e        0x0000000000000000
0x008f        0x0000000000000000
0x0090        0x0000000000000000
0x0091        0x0000000000000000
0x0092        0x0000000000000000
0x0093        0x0000000000000000
0x0094        0x0000000000000000
0x0095        0x0000000000000000
0x0096        0x0000000000000000
0x0097        0x0000000000000000
0x0098        0x0000000000000000
0x0099        0x0000000000000000
0x009a        0x0000000000000000
0x009b        0x0000000000000000
0x009c        0x0000000000000000
0x009d        0x0000000000000000
0x009e        0x0000000000000000
0x009f        0x0000000000000000
0x00a0        0x0000000000000000
0x00a1        0x0000000000000000
0x00a2        0x0000000000000000
0x00a3        0x0000000000000000
0x00a4        0x0000000000000000
0x00a5        0x0000000000000000
0x00a6        0x0000000000000000
0x00a7        0x0000000000000000
0x00a8        0x0000000000000000
0x00a9        0x0000000000000000
0x00aa        0x0000000000000000
0x00ab        0x0000000000000000
0x00ac        0x0000000000000000
0x00ad        0x0000000000000000
0x00ae        0x0000000000000000
0x00af        0x0000000000000000
0x00b0        0x0000000000000000
0x00b1        0x0000000000000000
0x00b2        0x0000000000000000
0x00b3        0x0000000000000000
0x00b4        0x0000000000000000
0x00b5        0x0000000000000000
0x00b6        0x0000000000000000
0x00b7        0x0000000000000000
0x00b8        0x0000000000000000
0x00b9        0x0000000000000000
0x00ba        0x0000000000000000
0x00bb        0x0000000000000000
0x00bc        0x0000000000000000
0x00bd        0x0000000000000000
0x00be        0x0000000000000000
0x00bf        0x0000000000000000
0x00c0        0x0000000000000000
0x00c1        0x0000000000000000
0x00c2        0x0000000000000000
0x00c3        0x0000000000000000
0x00c4        0x0000000000000000
0x00c5        0x0000000000000000
0x00c6        0x0000000000000000
0x00c7        0x0000000000000000
0x00c8        0x0000000000000000
0x00c9        0x0000000000000000
0x00ca        0x0000000000000000
0x00cb        0x0000000000000000
0x00cc        0x0000000000000000
0x00cd        0x0000000000000000
0x00ce        0x0000000000000000
0x00cf        0x0000000000000000
0x00d0        0x0000000000000000
0x00d1        0x0000000000000000
0x00d2        0x0000000000000000
0x00d3        0x0000000000000000
0x00d4        0x0000000000000000
0x00d5        0x0000000000000000
0x00d6        0x0000000000000000
0x00d7        0x0000000000000000
0x00d8        0x0000000000000000
0x00d9        0x0000000000000000
0x00da        0x0000000000000000
0x00db        0x0000000000000000
0x00dc        0x0000000000000000
0x00dd        0x0000000000000000
0x00de        0x0000000000000000
0x00df        0x0000000000000000
0x00e0        0x0000000000000000
0x00e1        0x0000000000000000
0x00e2        0x0000000000000000
0x00e3        0x0000000000000000
0x00e4        0x0000000000000000
0x00e5        0x0000000000000000
0x00e6        0x0000000000000000
0x00e7        0x0000000000000000
0x00e8        0x0000000000000000
0x00e9        0x0000000000000000
0x00ea        0x0000000000000000
0x00eb        0x0000000000000000
0x00ec        0x0000000000000000
0x00ed        0x0000000000000000
0x00ee        0x0000000000000000
0x00ef        0x0000000000000000
0x00f0        0x0000000000000000
0x00f1        0x0000000000000000
0x00f2        0x0000000000000000
0x00f3        0x0000000000000000
0x00f4        0x0000000000000000
0x00f5        0x0000000000000000
0x00f6        0x0000000000000000
0x00f7        0x0000000000000000
0x00f8        0x0000000000000000
0x00f9        0x0000000000000000
0x00fa        0x0000000000000000
0x00fb        0x0000000000000000
0x00fc        0x0000000000000000
0x00fd        0x0000000000000000
0x00fe        0x0000000000000000
0x00ff        0x0000000000000000
0x0100        0x0000000000000000
0x0101        0x0000000000000000
0x0102        0x0000000000000000
0x0103        0x0000000000000000
0x0104        0x0000000000000000
0x0105        0x0000000000000000
0x0106        0x0000000000000000
0x0107        0x0000000000000000
0x0108        0x0000000000000000
0x0109        0x0000000000000000
0x010a        0x0000000000000000
0x010b        0x0000000000000000
0x010c        0x0000000000000000
0x010d        0x0000000000000000
0x010e        0x0000000000000000
0x010f        0x0000000000000000
0x0110        0x0000000000000000
0x0111        0x0000000000000000
0x0112        0x0000000000000000
0x0113        0x0000000000000000
0x0114        0x0000000000000000
0x0115        0x0000000000000000
0x0116        0x0000000000000000
0x0117        0x0000000000000000
0x0118        0x0000000000000000
0x0119        0x0000000000000000
0x011a        0x0000000000000000
0x011b        0x0000000000000000
0x011c        0x0000000000000000
0x011d        0x0000000000000000
0x011e        0x0000000000000000
0x011f        0x0000000000000000
0x0120        0x0000000000000000
0x0121        0x0000000000000000
0x0122        0x0000000000000000
0x0123        0x0000000000000000
0x0124        0x0000000000000000
0x0125        0x0000000000000000
0x0126        0x0000000000000000
0x0127        0x0000000000000000
0x0128        0x0000000000000000
0x0129        0x0000000000000000
0x012a        0x0000000000000000
0x012b        0x0000000000000000
0x012c        0x0000000000000000
0x012d        0x0000000000000000
0x012e        0x0000000000000000
0x012f        0x0000000000000000
0x0130        0x0000000000000000
0x0131        0x0000000000000000
0x0132        0x0000000000000000
0x0133        0x0000000000000000
0x0134        0x0000000000000000
0x0135        0x0000000000000000
0x0136        0x0000000000000000
0x0137        0x0000000000000000
0x0138        0x0000000000000000
0x0139        0x0000000000000000
0x013a        0x0000000000000000
0x013b        0x0000000000000000
0x013c        0x0000000000000000
0x013d        0x0000000000000000
0x013e        0x0000000000000000
0x013f        0x0000000000000000
0x0140        0x0000000000000000
0x0141        0x0000000000000000
0x0142        0x0000000000000000
0x0143        0x0000000000000000
0x0144        0x0000000000000000
0x0145        0x0000000000000000
0x0146        0x0000000000000000
0x0147        0x0000000000000000
0x0148        0x0000000000000000
0x0149        0x0000000000000000
0x014a        0x0000000000000000
0x014b        0x0000000000000000
0x014c        0x0000000000000000
0x014d        0x0000000000000000
0x014e        0x0000000000000000
0x014f        0x0000000000000000
0x0150        0x0000000000000000
0x0151        0x0000000000000000
0x0152        0x0000000000000000
0x0153        0x0000000000000000
0x0154        0x0000000000000000
0x0155        0x0000000000000000
0x0156        0x0000000000000000
0x0157        0x0000000000000000
0x0158        0x0000000000000000
0x0159        0x0000000000000000
0x015a        0x0000000000000000
0x015b        0x0000000000000000
0x015c        0x0000000000000000
0x015d        0x00000D3055060A21
0x015e        0x0000000000000000
0x015f        0x00000ED55ACC06D1
0x0160        0x0000000000000000
0x0161        0x00000CEC393E05F1
0x0162        0x0000000000000000
0x0163        0x000002E7DDDE0531
0x0164        0x0000000000000000
0x0165        0x00000D3E80220511
0x0166        0x0000000000000000
0x0167        0x0000029F5A7E04E1
0x0168        0x0000000000000000
0x0169        0x00000008984404D1
0x016a        0x0000000000000000
0x016b        0x00000D56C8AA04A1
0x016c        0x0000000000000000
0x016d        0x000001F60F560441
0x016e        0x0000000000000000
0x016f        0x00000FD5539A03A1
0x0170        0x0000000000000000
0x0171        0x00000F8017EA0371
0x0172        0x0000000000000000
0x0173        0x000001488DBC0361
0x0174        0x0000000000000000
0x0175        0x0000000000000000
0x0176        0x0000000000000000
0x0177        0x00000D3055060A21
0x0178        0x0000000000000000
0x0179        0x00000F019A440841
0x017a        0x0000000000000000
0x017b        0x00000D19BB4A0811
0x017c        0x0000000000000000
0x017d        0x0000003616E40691
0x017e        0x0000000000000000
0x017f        0x000002C19C2E05B1
0x0180        0x0000000000000000
0x0181        0x000001AACEA00511
0x0182        0x0000000000000000
0x0183        0x00000D8188AA04F1
0x0184        0x0000000000000000
0x0185        0x00000F60C98E0461
0x0186        0x0000000000000000
0x0187        0x00000E59A4440441
0x0188        0x0000000000000000
0x0189        0x000001D13DC80411
0x018a        0x0000000000000000
0x018b        0x00000F71F0AA03D1
0x018c        0x0000000000000000
0x018d        0x000003157B280331
0x018e        0x0000000000000000
0x018f        0x0000000000000000
0x0190        0x0000000000000000
0x0191        0x0000000000000000
0x0192        0x0000000000000000
0x0193        0x00000105E5EA1E61
0x0194        0x0000000000000000
0x0195        0x00000299BD9A1701
0x0196        0x0000000000000000
0x0197        0x00000205E3060BC1
0x0198        0x0000000000000000
0x0199        0x00000082CA000791
0x019a        0x0000000000000000
0x019b        0x000002C185060521
0x019c        0x0000000000000000
0x019d        0x00000F2AD6220461
0x019e        0x0000000000000000
0x019f        0x0000024CEA000441
0x01a0        0x0000000000000000
0x01a1        0x00000DE26FD20411
0x01a2        0x0000000000000000
0x01a3        0x000002349DEA0401
0x01a4        0x0000000000000000
0x01a5        0x000000F7A18E03C1
0x01a6        0x0000000000000000
0x01a7        0x00000F4E47C802F1
0x01a8        0x0000000000000000
0x01a9        0x00000FB4A7A602F1
0x01aa        0x0000000000000000
0x01ab        0x0000000000000000
0x01ac        0x0000000000000000
0x01ad        0x0000010725C82001
0x01ae        0x0000000000000000
0x01af        0x00000299BE6619E1
0x01b0        0x0000000000000000
0x01b1        0x0000021424A00F51
0x01b2        0x0000000000000000
0x01b3        0x00000088898E0811
0x01b4        0x0000000000000000
0x01b5        0x00000E0FF1A605C1
0x01b6        0x0000000000000000
0x01b7        0x00000F4896A00491
0x01b8        0x0000000000000000
0x01b9        0x00000EF608720491
0x01ba        0x0000000000000000
0x01bb        0x00000F736AAA0461
0x01bc        0x0000000000000000
0x01bd        0x000001C72F8E0321
0x01be        0x0000000000000000
0x01bf        0x00000DB34B6C02B1
0x01c0        0x0000000000000000
0x01c1        0x0000010E578E02B1
0x01c2        0x0000000000000000
0x01c3        0x00000D0FD5F40271
0x01c4        0x0000000000000000
0x01c5        0x0000000000000000
0x01c6        0x0000000000000000
0x01c7        0x0000000000000000
0x01c8        0x0000000000000000
0x01c9        0x00000FF486441F61
0x01ca        0x0000000000000000
0x01cb        0x00000F56DF341F21
0x01cc        0x0000000000000000
0x01cd        0x00000E187BD207C1
0x01ce        0x0000000000000000
0x01cf        0x00000D2DAA720531
0x01d0        0x0000000000000000
0x01d1        0x00000D44715604E1
0x01d2        0x0000000000000000
0x01d3        0x00000F1430A00491
0x01d4        0x0000000000000000
0x01d5        0x00000D12813E0481
0x01d6        0x0000000000000000
0x01d7        0x00000E402FB00471
0x01d8        0x0000000000000000
0x01d9        0x000001360A220391
0x01da        0x0000000000000000
0x01db        0x00000FD6EAB602F1
0x01dc        0x0000000000000000
0x01dd        0x00000DAAD75602B1
0x01de        0x0000000000000000
0x01df        0x000002D9A18202B1
0x01e0        0x0000000000000000
0x01e1        0x0000000000000000
0x01e2        0x0000000000000000
0x01e3        0x00000FF486441F61
0x01e4        0x0000000000000000
0x01e5        0x00000F56DF341F21
0x01e6        0x0000000000000000
0x01e7        0x00000E187BD207C1
0x01e8        0x0000000000000000
0x01e9        0x00000E88B0CC0781
0x01ea        0x0000000000000000
0x01eb        0x00000D2F2A880711
0x01ec        0x0000000000000000
0x01ed        0x00000D55426604F1
0x01ee        0x0000000000000000
0x01ef        0x0000021B311204E1
0x01f0        0x0000000000000000
0x01f1        0x00000D8A198E0401
0x01f2        0x0000000000000000
0x01f3        0x000001360A220391
0x01f4        0x0000000000000000
0x01f5        0x00000FF076500361
0x01f6        0x0000000000000000
0x01f7        0x00000FD6EAB602F1
0x01f8        0x0000000000000000
0x01f9        0x000002D9A18202B1
0x01fa        0x0000000000000000
0x01fb        0x0000000000000000
0x01fc        0x0000000000000000
0x01fd        0x0000000000000000
0x01fe        0x0000000000000000
0x01ff        0x0000025C8FD21721
0x0200        0x0000000000000000
0x0201        0x0000017EACAA1171
0x0202        0x0000000000000000
0x0203        0x000000A271780CD1
0x0204        0x0000000000000000
0x0205        0x00000EC89DA40571
0x0206        0x0000000000000000
0x0207        0x00000D7938CC0561
0x0208        0x0000000000000000
0x0209        0x00000D60D0AA0511
0x020a        0x0000000000000000
0x020b        0x000002BBF41604A1
0x020c        0x0000000000000000
0x020d        0x00000F76047E0441
0x020e        0x0000000000000000
0x020f        0x00000F48A98E0401
0x0210        0x0000000000000000
0x0211        0x0000015B326603D1
0x0212        0x0000000000000000
0x0213        0x00000156C88803A1
0x0214        0x0000000000000000
0x0215        0x00000F5122EE02F1
0x0216        0x0000000000000000
0x0217        0x0000000000000000
0x0218        0x0000000000000000
0x0219        0x0000025C8F8E17E1
0x021a        0x0000000000000000
0x021b        0x0000017EAC7E1051
0x021c        0x0000000000000000
0x021d        0x000000CBB16C0F51
0x021e        0x0000000000000000
0x021f        0x00000D69798205F1
0x0220        0x0000000000000000
0x0221        0x00000EA0DE000591
0x0222        0x0000000000000000
0x0223        0x00000D734DF40571
0x0224        0x0000000000000000
0x0225        0x000002BBF41604A1
0x0226        0x0000000000000000
0x0227        0x0000012688E40461
0x0228        0x0000000000000000
0x0229        0x00000F76047E0441
0x022a        0x0000000000000000
0x022b        0x00000F4BA71C0421
0x022c        0x0000000000000000
0x022d        0x00000CED9A2E0271
0x022e        0x0000000000000000
0x022f        0x00000FEC19780231
0x0230        0x0000000000000000
0x0231        0x0000000000000000
0x0232        0x0000000000000000
0x0233        0x0000000000000000
0x0234        0x0000000000000000
0x0235        0x000002792F6C17E1
0x0236        0x0000000000000000
0x0237        0x00000DDC8EC21271
0x0238        0x0000000000000000
0x0239        0x00000F4E527E09B1
0x023a        0x0000000000000000
0x023b        0x00000D336F6005E1
0x023c        0x0000000000000000
0x023d        0x00000F7BF00005B1
0x023e        0x0000000000000000
0x023f        0x00000D3A46FA04A1
0x0240        0x0000000000000000
0x0241        0x00000E0467F40331
0x0242        0x0000000000000000
0x0243        0x000002CA18B602F1
0x0244        0x0000000000000000
0x0245        0x00000314287E02F1
0x0246        0x0000000000000000
0x0247        0x000002E7CC880271
0x0248        0x0000000000000000
0x0249        0x00000DE51B8E0271
0x024a        0x0000000000000000
0x024b        0x00000F9B28C20271
0x024c        0x0000000000000000
0x024d        0x0000000000000000
0x024e        0x0000000000000000
0x024f        0x000002792F6C17E1
0x0250        0x0000000000000000
0x0251        0x00000DDC8EC21271
0x0252        0x0000000000000000
0x0253        0x00000F4E527E09B1
0x0254        0x0000000000000000
0x0255        0x00000F802EFA0661
0x0256        0x0000000000000000
0x0257        0x00000D336F6005E1
0x0258        0x0000000000000000
0x0259        0x000002E7DA2E04F1
0x025a        0x0000000000000000
0x025b        0x00000D3A46FA04A1
0x025c        0x0000000000000000
0x025d        0x00000E0467F40331
0x025e        0x0000000000000000
0x025f        0x00000314287E02F1
0x0260        0x0000000000000000
0x0261        0x000002E7CC880271
0x0262        0x0000000000000000
0x0263        0x00000DE51B8E0271
0x0264        0x0000000000000000
0x0265        0x000001EAE2D80231
0x0266        0x0000000000000000
0x0267        0x0000000000000000
0x0268        0x0000000000000000
0x0269        0x0000000000000000
0x026a        0x0000000000000000
0x026b        0x00000195582223F1
0x026c        0x0000000000000000
0x026d        0x0000012DB36C14E1
0x026e        0x0000000000000000
0x026f        0x0000021F460C0C71
0x0270        0x0000000000000000
0x0271        0x00000EF1F4CC0991
0x0272        0x0000000000000000
0x0273        0x000001BE907203D1
0x0274        0x0000000000000000
0x0275        0x00000007096C03C1
0x0276        0x0000000000000000
0x0277        0x000002D2AAA003C1
0x0278        0x0000000000000000
0x0279        0x00000E33747E0321
0x027a        0x0000000000000000
0x027b        0x00000D3BC47202F1
0x027c        0x0000000000000000
0x027d        0x00000FB1F26602F1
0x027e        0x0000000000000000
0x027f        0x00000160C13E02F1
0x0280        0x0000000000000000
0x0281        0x0000018A0B9A02B1
0x0282        0x0000000000000000
0x0283        0x0000000000000000
0x0284        0x0000000000000000
0x0285        0x00000196D7C82591
0x0286        0x0000000000000000
0x0287        0x0000012DB36C14E1
0x0288        0x0000000000000000
0x0289        0x00000205C6160E51
0x028a        0x0000000000000000
0x028b        0x00000EE7F4E40BA1
0x028c        0x0000000000000000
0x028d        0x00000007096C03C1
0x028e        0x0000000000000000
0x028f        0x000002D2AAA003C1
0x0290        0x0000000000000000
0x0291        0x00000063A0940361
0x0292        0x0000000000000000
0x0293        0x00000D3BC47202F1
0x0294        0x0000000000000000
0x0295        0x000000C711820231
0x0296        0x0000000000000000
0x0297        0x00000E70502E01F1
0x0298        0x0000000000000000
0x0299        0x0000000000000000
0x029a        0x0000000000000000
0x029b        0x0000000000000000
0x029c        0x0000000000000000
0x029d        0x0000000000000000
0x029e        0x0000000000000000
0x029f        0x0000000000000000
0x02a0        0x0000000000000000
0x02a1        0x00000E58753E0641
0x02a2        0x0000000000000000
0x02a3        0x00000CFE95780571
0x02a4        0x0000000000000000
0x02a5        0x00000E92A66604F1
0x02a6        0x0000000000000000
0x02a7        0x00000D791E2204A1
0x02a8        0x0000000000000000
0x02a9        0x000002489A440471
0x02aa        0x0000000000000000
0x02ab        0x0000010BB4EE0461
0x02ac        0x0000000000000000
0x02ad        0x00000FD9A0880441
0x02ae        0x0000000000000000
0x02af        0x00000F5DCA660431
0x02b0        0x0000000000000000
0x02b1        0x00000207299A03E1
0x02b2        0x0000000000000000
0x02b3        0x00000E071D8E03B1
0x02b4        0x0000000000000000
0x02b5        0x00000E0FFAE40371
0x02b6        0x0000000000000000
0x02b7        0x00000F5552380371
0x02b8        0x0000000000000000
0x02b9        0x0000000000000000
0x02ba        0x0000000000000000
0x02bb        0x00000E3A758E07B1
0x02bc        0x0000000000000000
0x02bd        0x00000D7A5CB606E1
0x02be        0x0000000000000000
0x02bf        0x0000023796000671
0x02c0        0x0000000000000000
0x02c1        0x00000D80043805F1
0x02c2        0x0000000000000000
0x02c3        0x00000D73533E05D1
0x02c4        0x0000000000000000
0x02c5        0x00000E9125B00551
0x02c6        0x0000000000000000
0x02c7        0x0000000BA13404E1
0x02c8        0x0000000000000000
0x02c9        0x0000024728E404A1
0x02ca        0x0000000000000000
0x02cb        0x0000010BB4EE0461
0x02cc        0x0000000000000000
0x02cd        0x000002A3B4D80431
0x02ce        0x0000000000000000
0x02cf        0x00000F5DCF0603D1
0x02d0        0x0000000000000000
0x02d1        0x00000F4E49C80271
0x02d2        0x0000000000000000
0x02d3        0x0000000000000000
0x02d4        0x0000000000000000
0x02d5        0x0000000000000000
0x02d6        0x0000000000000000
0x02d7        0x00000F3904EE2181
0x02d8        0x0000000000000000
0x02d9        0x00000EA68E722001
0x02da        0x0000000000000000
0x02db        0x00000F512DEA1BA1
0x02dc        0x0000000000000000
0x02dd        0x00000185F3DE1641
0x02de        0x0000000000000000
0x02df        0x000000FA7E660F11
0x02e0        0x0000000000000000
0x02e1        0x00000FD13CE40BF1
0x02e2        0x0000000000000000
0x02e3        0x000000A955280A21
0x02e4        0x0000000000000000
0x02e5        0x00000D9B302207E1
0x02e6        0x0000000000000000
0x02e7        0x000000F4B9D20571
0x02e8        0x0000000000000000
0x02e9        0x00000F8A1F4A0571
0x02ea        0x0000000000000000
0x02eb        0x00000F20CF3E0361
0x02ec        0x0000000000000000
0x02ed        0x00000DF4E3A60331
0x02ee        0x0000000000000000
0x02ef        0x0000000000000000
0x02f0        0x0000000000000000
0x02f1        0x00000F36053E23F1
0x02f2        0x0000000000000000
0x02f3        0x00000EAACEA01F71
0x02f4        0x0000000000000000
0x02f5        0x00000F512DEA1BA1
0x02f6        0x0000000000000000
0x02f7        0x00000177B4A019E1
0x02f8        0x0000000000000000
0x02f9        0x000000F4BE440FC1
0x02fa        0x0000000000000000
0x02fb        0x00000FCFFCC20B61
0x02fc        0x0000000000000000
0x02fd        0x000000A955280A21
0x02fe        0x0000000000000000
0x02ff        0x00000D8E70B60871
0x0300        0x0000000000000000
0x0301        0x00000F705F8E05B1
0x0302        0x0000000000000000
0x0303        0x00000DF4E3A60331
0x0304        0x0000000000000000
0x0305        0x00000CF90A940271
0x0306        0x0000000000000000
0x0307        0x0000000000000000
0x0308        0x0000000000000000
0x0309        0x0000000000000000
0x030a        0x0000000000000000
0x030b        0x0000000000000000
0x030c        0x0000000000000000
0x030d        0x0000011DC3822DE1
0x030e        0x0000000000000000
0x030f        0x00000F9C9F062391
0x0310        0x0000000000000000
0x0311        0x000001B4822E0E71
0x0312        0x0000000000000000
0x0313        0x00000F7633560971
0x0314        0x0000000000000000
0x0315        0x00000F1406000711
0x0316        0x0000000000000000
0x0317        0x0000022267D205F1
0x0318        0x0000000000000000
0x0319        0x00000ECBAF6C05E1
0x031a        0x0000000000000000
0x031b        0x00000014093403C1
0x031c        0x0000000000000000
0x031d        0x0000020A208803B1
0x031e        0x0000000000000000
0x031f        0x000002C0328802F1
0x0320        0x0000000000000000
0x0321        0x000002C5FE6602B1
0x0322        0x0000000000000000
0x0323        0x00000D1103DE0231
0x0324        0x0000000000000000
0x0325        0x0000000000000000
0x0326        0x0000000000000000
0x0327        0x0000013E83343A41
0x0328        0x0000000000000000
0x0329        0x00000F9C9F062391
0x032a        0x0000000000000000
0x032b        0x00000F41B22E0CE1
0x032c        0x0000000000000000
0x032d        0x0000023067B00811
0x032e        0x0000000000000000
0x032f        0x00000F20C5C80791
0x0330        0x0000000000000000
0x0331        0x00000014093403C1
0x0332        0x0000000000000000
0x0333        0x000002C0328802F1
0x0334        0x0000000000000000
0x0335        0x000002C5FE6602B1
0x0336        0x0000000000000000
0x0337        0x00000D1103DE0231
0x0338        0x0000000000000000
0x0339        0x00000CE6AA380231
0x033a        0x0000000000000000
0x033b        0x000009A51A7E0000
0x033c        0x0000000000000000
0x033d        0x0000000000000000
0x033e        0x0000000000000000
0x033f        0x0000000000000000
0x0340        0x0000000000000000
0x0341        0x0000000000000000
0x0342        0x0000000000000000
0x0343        0x00000E7A5E161181
0x0344        0x0000000000000000
0x0345        0x00000F307B280FC1
0x0346        0x0000000000000000
0x0347        0x00000074B9BC0DE1
0x0348        0x0000000000000000
0x0349        0x00000FAC0DDE0861
0x034a        0x0000000000000000
0x034b        0x00000E7EAC660711
0x034c        0x0000000000000000
0x034d        0x0000024A2F5604D1
0x034e        0x0000000000000000
0x034f        0x00000048906604C1
0x0350        0x0000000000000000
0x0351        0x00000D8E425C04A1
0x0352        0x0000000000000000
0x0353        0x00000D5874AA0461
0x0354        0x0000000000000000
0x0355        0x00000E1F56D80441
0x0356        0x0000000000000000
0x0357        0x00000E9423120431
0x0358        0x0000000000000000
0x0359        0x00000177978E0421
0x035a        0x0000000000000000
0x035b        0x0000000000000000
0x035c        0x0000000000000000
0x035d        0x00000E7D5E161401
0x035e        0x0000000000000000
0x035f        0x00000F307B280FC1
0x0360        0x0000000000000000
0x0361        0x00000074B9BC0DE1
0x0362        0x0000000000000000
0x0363        0x00000FC00EFA0B31
0x0364        0x0000000000000000
0x0365        0x000002512FC80741
0x0366        0x0000000000000000
0x0367        0x00000E7EAC660711
0x0368        0x0000000000000000
0x0369        0x00000DB342AA0631
0x036a        0x0000000000000000
0x036b        0x0000019C97B004D1
0x036c        0x0000000000000000
0x036d        0x0000020185820491
0x036e        0x0000000000000000
0x036f        0x00000D5874AA0461
0x0370        0x0000000000000000
0x0371        0x00000E11165A0351
0x0372        0x0000000000000000
0x0373        0x000002B053DE02B1
0x0374        0x0000000000000000
0x0375        0x0000000000000000
0x0376        0x0000000000000000
0x0377        0x0000000000000000
0x0378        0x0000000000000000
0x0379        0x00000EFA75600FC1
0x037a        0x0000000000000000
0x037b        0x000000CB827E0FA1
0x037c        0x0000000000000000
0x037d        0x0000028028160831
0x037e        0x0000000000000000
0x037f        0x00000F95776C05B1
0x0380        0x0000000000000000
0x0381        0x000001CB543803B1
0x0382        0x0000000000000000
0x0383        0x00000DF79AD80331
0x0384        0x0000000000000000
0x0385        0x00000125193402F1
0x0386        0x0000000000000000
0x0387        0x00000152B28802B1
0x0388        0x0000000000000000
0x0389        0x00000E929C940231
0x038a        0x0000000000000000
0x038b        0x000002EC0BD20231
0x038c        0x0000000000000000
0x038d        0x00000F4444500231
0x038e        0x0000000000000000
0x038f        0x00000DF4F54A0231
0x0390        0x0000000000000000
0x0391        0x0000000000000000
0x0392        0x0000000000000000
0x0393        0x00000F19B59A13B1
0x0394        0x0000000000000000
0x0395        0x000000CB827E0FA1
0x0396        0x0000000000000000
0x0397        0x0000028028160831
0x0398        0x0000000000000000
0x0399        0x00000E361B820441
0x039a        0x0000000000000000
0x039b        0x00000182D6660421
0x039c        0x0000000000000000
0x039d        0x00000144701603C1
